car_name,year,selling_price,mileage_km,fuel_type,seller_type,transmission,owner,fuel_efficiency,engine_cc,max_power,torque,seats,fuel_efficiency_num,engine_cc_num,max_power_num,torque_num,brand,car_age,owner_numeric,power_per_cc,log_selling_price,price_category
Skoda Rapid 1.6 MPI AT Ambition BSIV,2019,835000,10000,Petrol,Individual,Automatic,First Owner,14.84 kmpl,1598 CC,103.2 bhp,153Nm@ 3750-3800rpm,5.0,14.84,1598.0,103.2,153.0,skoda,5,0,0.06458072590738423,13.635188201437066,Mid-range
Maruti Zen Estilo 1.1 LX BSIII,2007,70000,80000,Petrol,Individual,Manual,Second Owner,18.2 kmpl,1061 CC,64 bhp,84Nm@ 3500rpm,5.0,18.2,1061.0,64.0,84.0,maruti,17,1,0.060320452403393024,11.156264806643742,Budget
Hyundai EON D Lite Plus Option,2016,220000,100000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,21.1,814.0,55.2,74.5,hyundai,8,0,0.06781326781326781,12.301387370778713,Budget
Mahindra Scorpio 2.6 SPORTZ CRDe,2006,220000,120000,Diesel,Individual,Manual,Second Owner,10.5 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,10.5,2179.0,120.0,290.0,mahindra,18,1,0.05507113354749885,12.301387370778713,Budget
Hyundai i10 Sportz AT,2011,340000,60000,Petrol,Individual,Automatic,Third Owner,16.95 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0,16.95,1197.0,78.9,111.8,hyundai,13,2,0.06591478696741855,12.73670383776449,Budget
Chevrolet Cruze LT,2011,300000,40000,Diesel,Individual,Manual,First Owner,18.3 kmpl,1991 CC,147.9 bhp,327Nm@ 2600rpm,5.0,18.3,1991.0,147.9,327.0,chevrolet,13,0,0.07428427925665496,12.611541086966115,Budget
Maruti Wagon R VXI BS IV,2011,246000,139000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,18.9,998.0,67.1,90.0,maruti,13,0,0.06723446893787574,12.413090879946887,Budget
Mahindra Verito Vibe 1.5 dCi D4,2014,350000,110000,Diesel,Individual,Manual,Second Owner,20.8 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5.0,20.8,1461.0,64.1,160.0,mahindra,10,1,0.04387405886379192,12.765691290604371,Budget
Tata Indica Vista Quadrajet VX Tech,2014,225000,120000,Diesel,Individual,Manual,First Owner,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5.0,22.3,1248.0,74.0,190.0,tata,10,0,0.05929487179487179,12.323860125621126,Budget
Hyundai Verna 1.6 CRDI,2013,530000,92500,Diesel,Individual,Manual,First Owner,22.32 kmpl,1582 CC,126.3 bhp,259.9Nm@ 1900-2750rpm,5.0,22.32,1582.0,126.3,259.9,hyundai,11,0,0.07983565107458912,13.180634172318978,Mid-range
Maruti Wagon R LXI BSIII,2017,340000,52412,Petrol,Dealer,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,18.9,998.0,67.1,90.0,maruti,7,0,0.06723446893787574,12.73670383776449,Budget
Maruti Swift Dzire VDI,2013,420000,105000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,23.4,1248.0,74.0,190.0,maruti,11,1,0.05929487179487179,12.948012371209098,Budget
Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,2018,678000,17000,Petrol,Individual,Manual,First Owner,18.78 kmpl,999 CC,75 bhp,95Nm@ 3000-4300rpm,5.0,18.78,999.0,75.0,95.0,volkswagen,6,0,0.07507507507507508,13.426904041847699,Mid-range
Tata Tigor 1.05 Revotorq XZ Option,2017,550000,50000,Diesel,Individual,Manual,First Owner,24.7 kmpl,1047 CC,69 bhp,140Nm@ 1800-3000rpm,5.0,24.7,1047.0,69.0,140.0,tata,7,0,0.0659025787965616,13.217675375388819,Mid-range
Maruti Swift Dzire 1.2 Vxi BSIV,2012,450000,30000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0,17.5,1197.0,85.8,114.0,maruti,12,0,0.07167919799498747,13.017005083966255,Budget
Tata Indica Vista Aqua 1.3 Quadrajet,2010,175000,60000,Diesel,Individual,Manual,First Owner,18.0 kmpl,1248 CC,75 bhp,190 Nm at 1750  rpm ,5.0,18.0,1248.0,75.0,190.0,tata,14,0,0.06009615384615385,12.07254696717504,Budget
Maruti Wagon R Duo Lxi,2012,300000,100000,LPG,Individual,Manual,Second Owner,26.2 km/kg,998 CC,58.2 bhp,77Nm@ 3500rpm,5.0,26.2,998.0,58.2,77.0,maruti,12,1,0.058316633266533066,12.611541086966115,Budget
Volkswagen Polo Diesel Trendline 1.2L,2013,280000,90000,Diesel,Individual,Manual,Third Owner,22.07 kmpl,1199 CC,73.9 bhp,180Nm@ 2000rpm,5.0,22.07,1199.0,73.9,180.0,volkswagen,11,2,0.06163469557964971,12.54254845357358,Budget
Hyundai Verna 1.6 Xi ABS,2008,275000,52000,Petrol,Individual,Manual,Second Owner,13.9 kmpl,1599 CC,103.2 bhp,"14.9@ 3,000(kgm@ rpm)",5.0,13.9,1599.0,103.2,14.9,hyundai,16,1,0.06454033771106941,12.524530013005734,Budget
Maruti Celerio ZXI Optional AMT BSIV,2018,451999,30000,Petrol,Individual,Automatic,Second Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,23.1,998.0,67.04,90.0,maruti,6,1,0.06717434869739479,13.021437458814368,Budget
Hyundai Verna 1.4 CX,2013,550000,50000,Diesel,Individual,Manual,First Owner,23.5 kmpl,1396 CC,88.7 bhp,219.9Nm@ 1750-2750rpm,5.0,23.5,1396.0,88.7,219.9,hyundai,11,0,0.06353868194842408,13.217675375388819,Mid-range
Toyota Innova 2.5 E Diesel MS 7-seater,2007,626000,80000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7.0,12.8,2494.0,102.0,20.4,toyota,17,1,0.0408981555733761,13.347107247525049,Mid-range
Maruti Alto 800 LXI,2016,310000,15000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,22.74,796.0,47.3,69.0,maruti,8,0,0.059422110552763814,12.644330802262578,Budget
Maruti Wagon R VXI Minor,2011,265000,80000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,18.9,998.0,67.1,90.0,maruti,13,0,0.06723446893787574,12.487488878546145,Budget
Toyota Innova 2.5 Z Diesel 7 Seater,2014,969999,110000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,7.0,12.99,2494.0,100.6,200.0,toyota,10,1,0.04033680834001604,13.785051350479566,Mid-range
Honda Brio S MT,2013,300000,80000,Petrol,Individual,Manual,Second Owner,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5.0,19.4,1198.0,86.8,109.0,honda,11,1,0.07245409015025041,12.611541086966115,Budget
Volkswagen Ameo 1.5 TDI Highline Plus 16 AT,2018,650000,82000,Diesel,Individual,Automatic,First Owner,21.73 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5.0,21.73,1498.0,108.62,250.0,volkswagen,6,0,0.07251001335113486,13.384729180332174,Mid-range
Mahindra Scorpio 1.99 S4 Plus,2015,650000,150000,Diesel,Individual,Manual,First Owner,15.4 kmpl,1997 CC,120 bhp,280Nm@ 1800-2800rpm,7.0,15.4,1997.0,120.0,280.0,mahindra,9,0,0.06009013520280421,13.384729180332174,Mid-range
Hyundai i20 1.2 Asta,2011,220000,220000,Petrol,Individual,Manual,Fourth & Above Owner,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5.0,17.0,1197.0,80.0,11.4,hyundai,13,3,0.06683375104427736,12.301387370778713,Budget
Renault Lodgy 85PS RxZ,2015,690000,80000,Diesel,Individual,Manual,First Owner,21.04 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,8.0,21.04,1461.0,83.8,200.0,renault,9,0,0.05735797399041752,13.444448325847754,Mid-range
Maruti Celerio VXI MT BSIV,2018,385000,50000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,23.1,998.0,67.04,90.0,maruti,6,0,0.06717434869739479,12.861001210669146,Budget
Mahindra KUV 100 mFALCON D75 K2 Plus,2016,360000,100000,Diesel,Individual,Manual,Second Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6.0,25.32,1198.0,77.0,190.0,mahindra,8,1,0.0642737896494157,12.793862088206213,Budget
Hyundai Grand i10 1.2 CRDi Sportz,2017,600000,50000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0,24.0,1186.0,73.97,190.24,hyundai,7,0,0.062369308600337264,13.304686600863562,Mid-range
Chevrolet Cruze LTZ,2010,300000,60000,Diesel,Individual,Manual,First Owner,18.3 kmpl,1991 CC,147.9 bhp,327Nm@ 2600rpm,5.0,18.3,1991.0,147.9,327.0,chevrolet,14,0,0.07428427925665496,12.611541086966115,Budget
Maruti Baleno Zeta 1.3,2018,760000,50000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,27.39,1248.0,74.0,190.0,maruti,6,0,0.05929487179487179,13.541075028051122,Mid-range
Mahindra Bolero VLX CRDe,2011,450000,100000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0,13.6,2523.0,63.0,180.0,mahindra,13,1,0.02497027348394768,13.017005083966255,Budget
Chevrolet Tavera Neo 3 9 Str BSIII,2015,425000,70000,Diesel,Individual,Manual,First Owner,13.58 kmpl,2499 CC,72.4 bhp,171Nm@ 1800rpm,9.0,13.58,2499.0,72.4,171.0,chevrolet,9,0,0.028971588635454185,12.959846800844963,Budget
Maruti Ertiga SHVS ZDI,2017,780000,66000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0,24.52,1248.0,88.5,200.0,maruti,7,1,0.07091346153846154,13.567050480716235,Mid-range
Mahindra Scorpio S3 9 Seater BSIV,2018,1000000,35000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2523 CC,75 bhp,200Nm@ 1400-2200rpm,7.0,15.4,2523.0,75.0,200.0,mahindra,6,0,0.029726516052318668,13.815511557963774,Mid-range
Maruti Swift Dzire VDI,2015,480000,30000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,26.59,1248.0,74.0,190.0,maruti,9,0,0.05929487179487179,13.081543466215237,Budget
Tata Indica V2 DLX BSII,2011,110000,50000,Diesel,Individual,Manual,First Owner,17.2 kmpl,1396 CC,53.5 bhp,"8.5@ 2,500(kgm@ rpm)",5.0,17.2,1396.0,53.5,8.5,tata,13,0,0.03832378223495702,11.608244735642321,Budget
Maruti SX4 Vxi BSIV,2011,190000,80000,Petrol,Individual,Manual,Third Owner,15.5 kmpl,1586 CC,103.3 bhp,145Nm@ 4100rpm,5.0,15.5,1586.0,103.3,145.0,maruti,13,2,0.06513240857503153,12.154784614286667,Budget
BMW 3 Series 320d Luxury Line,2012,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88 kmpl,1995 CC,184 bhp,380Nm@ 1750-2750rpm,5.0,18.88,1995.0,184.0,380.0,bmw,12,1,0.09223057644110276,14.077875591662238,Premium
Maruti Ciaz 1.3 Alpha,2017,650000,78000,Diesel,Individual,Manual,Third Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,28.09,1248.0,88.5,200.0,maruti,7,2,0.07091346153846154,13.384729180332174,Mid-range
Ford Figo Aspire Titanium Diesel,2016,650000,85000,Diesel,Dealer,Manual,First Owner,24.4 kmpl,1499 CC,98.96 bhp,215Nm@ 1750-3000rpm,5.0,24.4,1499.0,98.96,215.0,ford,8,0,0.06601734489659773,13.384729180332174,Mid-range
Tata Tigor 1.2 Revotron XT,2018,450000,75000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,20.3,1199.0,84.0,114.0,tata,6,0,0.07005838198498748,13.017005083966255,Budget
Hyundai i20 1.2 Magna,2011,350000,98000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5.0,18.5,1197.0,80.0,11.4,hyundai,13,0,0.06683375104427736,12.765691290604371,Budget
Hyundai Grand i10 Magna,2014,370000,60000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0,18.9,1197.0,82.0,114.0,hyundai,10,0,0.06850459482038429,12.821260987319457,Budget
Mahindra Scorpio LX,2014,520000,110000,Diesel,Individual,Manual,Second Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,9.0,12.05,2179.0,120.0,290.0,mahindra,10,1,0.05507113354749885,13.161586013632684,Mid-range
Mahindra Scorpio S11 BSIV,2018,1465000,110000,Diesel,Individual,Manual,First Owner,16.36 kmpl,2179 CC,140 bhp,320Nm@ 1500-2800rpm,7.0,16.36,2179.0,140.0,320.0,mahindra,6,0,0.06424965580541533,14.19736648302693,Premium
Maruti Swift Dzire VDI,2018,755000,15000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,28.4,1248.0,74.02,190.0,maruti,6,0,0.05931089743589743,13.534474352733596,Mid-range
Tata Zest Revotron 1.2 XT,2018,520000,60000,Petrol,Individual,Manual,First Owner,17.57 kmpl,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5.0,17.57,1193.0,88.7,140.0,tata,6,0,0.07435037720033529,13.161586013632684,Mid-range
Ford Figo Diesel EXI,2012,250000,156040,Diesel,Dealer,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,20.0,1399.0,68.0,160.0,ford,12,0,0.04860614724803431,12.429220196836383,Budget
Maruti Wagon R LXI,2005,130000,140000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,18.9,998.0,67.1,90.0,maruti,19,1,0.06723446893787574,11.775297421715827,Budget
Hyundai Grand i10 CRDi Asta,2014,459999,90000,Diesel,Individual,Manual,Second Owner,24.0 kmpl,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5.0,24.0,1120.0,70.0,160.0,hyundai,10,1,0.0625,13.038981768465277,Budget
Mahindra Supro LX 8 Str,2018,500000,10000,Diesel,Individual,Manual,First Owner,23.5 kmpl,909 CC,45 bhp,98Nm@ 1600-3000rpm,8.0,23.5,909.0,45.0,98.0,mahindra,6,0,0.04950495049504951,13.122365377402328,Budget
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,90000,Diesel,Individual,Manual,First Owner,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7.0,18.2,1248.0,73.8,172.5,chevrolet,11,0,0.05913461538461538,12.611541086966115,Budget
Tata Indigo CS LX (TDI) BS-III,2017,450000,70000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0,19.09,1405.0,69.01,135.0,tata,7,0,0.04911743772241993,13.017005083966255,Budget
Mahindra Xylo D2,2011,450000,56000,Diesel,Individual,Manual,First Owner,13.0 kmpl,2489 CC,95 bhp,220Nm at 1400-2600 rpm,8.0,13.0,2489.0,95.0,220.0,mahindra,13,0,0.03816793893129771,13.017005083966255,Budget
Mahindra Bolero 2011-2019 Plus AC,2013,440000,120000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1440-2200rpm,9.0,15.96,2523.0,62.1,195.0,mahindra,11,0,0.02461355529131986,12.994532278619134,Budget
Maruti Swift Dzire ZDi,2011,310000,70000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,19.3,1248.0,73.9,190.0,maruti,13,1,0.059214743589743594,12.644330802262578,Budget
Mahindra KUV 100 mFALCON D75 K8,2016,357000,120000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6.0,25.32,1198.0,77.0,190.0,mahindra,8,0,0.0642737896494157,12.785493861878301,Budget
Maruti Ertiga ZDI,2016,725000,66000,Diesel,Dealer,Manual,First Owner,20.77 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,7.0,20.77,1248.0,88.8,200.0,maruti,8,0,0.07115384615384615,13.493928313146206,Mid-range
Maruti Alto K10 VXI,2015,285000,40000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,23.95,998.0,67.05,90.0,maruti,9,0,0.06718436873747495,12.560247968016562,Budget
Mahindra Thar CRDe,2019,975000,12584,Diesel,Dealer,Manual,First Owner,16.55 kmpl,2498 CC,105 bhp,247Nm@ 1800-2000rpm,6.0,16.55,2498.0,105.0,247.0,mahindra,5,0,0.042033626901521216,13.790193775620484,Mid-range
Hyundai EON Magna Plus,2013,200000,40000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,21.1,814.0,55.2,74.5,hyundai,11,0,0.06781326781326781,12.206077645517674,Budget
Mahindra Marazzo M6 8Str,2018,1200000,35000,Diesel,Individual,Manual,First Owner,17.3 kmpl,1497 CC,121 bhp,300Nm@ 1750-2500rpm,8.0,17.3,1497.0,121.0,300.0,mahindra,6,0,0.08082832331329326,13.997832948091215,Premium
Maruti Swift Dzire Tour LDI,2013,300000,70000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,23.4,1248.0,74.0,190.0,maruti,11,0,0.05929487179487179,12.611541086966115,Budget
Ford EcoSport 1.5 TDCi Signature BSIV,2018,950000,27000,Diesel,Dealer,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0,22.77,1498.0,98.59,205.0,ford,6,0,0.06581441922563418,13.76421831620775,Mid-range
Tata Sumo CX,2012,320000,70000,Diesel,Individual,Manual,Second Owner,15.3 kmpl,2956 CC,83.8 bhp,250Nm@ 1000-2000rpm,7.0,15.3,2956.0,83.8,250.0,tata,12,1,0.02834912043301759,12.676079399771027,Budget
Hyundai Xcent 1.2 VTVT S AT,2018,575000,15000,Petrol,Individual,Automatic,First Owner,17.36 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0,17.36,1197.0,81.86,113.75,hyundai,6,0,0.0683876357560568,13.26212705890841,Mid-range
Maruti Celerio VXI,2016,411000,25000,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,23.1,998.0,67.04,90.0,maruti,8,1,0.06717434869739479,12.926350926565435,Budget
Maruti Ritz VDi,2014,425000,80000,Diesel,Individual,Manual,Second Owner,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5.0,23.2,1248.0,73.94,190.0,maruti,10,1,0.05924679487179487,12.959846800844963,Budget
Mahindra Scorpio VLX 4WD AIRBAG BSIV,2011,525000,96000,Diesel,Individual,Manual,First Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,12.05,2179.0,120.0,290.0,mahindra,13,0,0.05507113354749885,13.171155446333852,Mid-range
Tata Indigo LS,2004,80000,248200,Diesel,Individual,Manual,Second Owner,16.1 kmpl,1405 CC,70 bhp,"13.5@ 2,500(kgm@ rpm)",5.0,16.1,1405.0,70.0,13.5,tata,20,1,0.0498220640569395,11.289794413577894,Budget
Toyota Innova 2.5 E Diesel MS 8-seater,2007,409999,248119,Diesel,Individual,Manual,Fourth & Above Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0,12.8,2494.0,102.0,20.4,toyota,17,3,0.0408981555733761,12.92391243868049,Budget
Ford Figo Diesel EXI Option,2010,185000,85568,Diesel,Dealer,Manual,First Owner,18.5 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,18.5,1399.0,68.0,160.0,ford,14,0,0.04860614724803431,12.128116509451258,Budget
Maruti 800 Std,2003,50000,50000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,16.1,796.0,37.0,59.0,maruti,21,2,0.04648241206030151,10.819798284210286,Budget
Maruti Vitara Brezza ZDi,2017,813000,110000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,24.3,1248.0,88.5,200.0,maruti,7,0,0.07091346153846154,13.608487618541492,Mid-range
Volkswagen Ameo 1.2 MPI Highline,2016,579000,7949,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1198 CC,73.75 bhp,110Nm@ 3750rpm,5.0,17.0,1198.0,73.75,110.0,volkswagen,8,0,0.061560934891485806,13.269059483669357,Mid-range
Mercedes-Benz M-Class ML 350 CDI,2013,3600000,50000,Diesel,Individual,Automatic,First Owner,11.74 kmpl,2987 CC,254.8 bhp,619Nm@ 1600-2400rpm,5.0,11.74,2987.0,254.8,619.0,mercedes-benz,11,0,0.08530297957817208,15.096444681204078,Premium
Ford Figo Aspire 1.5 TDCi Trend,2015,459999,32000,Diesel,Individual,Manual,Second Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0,25.83,1498.0,99.0,215.0,ford,9,1,0.06608811748998665,13.038981768465277,Budget
Hyundai EON Era Plus,2014,260000,18945,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,21.1,814.0,55.2,74.5,hyundai,10,0,0.06781326781326781,12.468440756144114,Budget
Hyundai Verna CRDi SX,2006,135000,120000,Diesel,Individual,Manual,Second Owner,16.8 kmpl,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5.0,16.8,1493.0,110.0,24.0,hyundai,18,1,0.07367716008037509,11.813037464800539,Budget
Maruti Swift VDI,2018,685000,26000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,28.4,1248.0,74.0,190.0,maruti,6,0,0.05929487179487179,13.437175577097312,Mid-range
Maruti Swift Dzire ZDi,2010,320000,100000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,19.3,1248.0,73.9,190.0,maruti,14,1,0.059214743589743594,12.676079399771027,Budget
Volkswagen Vento Diesel Highline,2012,280000,120000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0,20.54,1598.0,103.6,250.0,volkswagen,12,1,0.06483103879849812,12.54254845357358,Budget
Chevrolet Spark 1.0,2009,145000,30000,Petrol,Individual,Manual,First Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5.0,18.0,995.0,62.0,90.3,chevrolet,15,0,0.062311557788944726,11.884495917930655,Budget
Maruti Alto LX,2004,90000,60000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,796.0,46.3,62.0,maruti,20,0,0.05816582914572864,11.407576060361786,Budget
Toyota Qualis FS B3,2002,229999,290000,Diesel,Individual,Manual,First Owner,13.1 kmpl,2446 CC,75 bhp,151Nm@ 2400rpm,10.0,13.1,2446.0,75.0,151.0,toyota,22,0,0.030662305805396566,12.345834587905333,Budget
Maruti Alto K10 2010-2014 VXI,2013,215000,25000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,20.92,998.0,67.1,90.0,maruti,11,0,0.06723446893787574,12.278397958261774,Budget
Renault Pulse RxZ Optional,2012,245000,100000,Diesel,Dealer,Manual,First Owner,23.08 kmpl,1461 CC,63.1 bhp,160Nm@ 2000rpm,5.0,23.08,1461.0,63.1,160.0,renault,12,0,0.0431895961670089,12.409017571151187,Budget
Hyundai EON Era Plus,2012,180000,100000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,21.1,814.0,55.2,74.5,hyundai,12,1,0.06781326781326781,12.100717685412471,Budget
